ID; COMPRAS ACUMULADAS ;MESES CUMPLIENDO VENTAS;ESTADO CIVIL;SEXO;Ubicaci—n geogr‡fica
1; $ 339.443.200 ;4;CASADO;FEMENINO;Norte
2; $ 442.399.900 ;9;SOLTERO;FEMENINO;Oeste
3; $ 525.814.450 ;5;SOLTERO;FEMENINO;Oeste
4; $ 409.658.600 ;4;SOLTERO;FEMENINO;Oeste
5; $ 203.823.900 ;2;SOLTERO;FEMENINO;Oeste
6; $ 295.607.000 ;5;CASADO;FEMENINO;Oeste
7; $ 398.465.050 ;6;CASADO;FEMENINO;Oeste
8; $ 320.621.100 ;6;CASADO;FEMENINO;Oeste
9; $ 248.822.300 ;1;CASADO;FEMENINO;Oeste
10; $ 274.014.500 ;8;CASADO;FEMENINO;Oeste
11; $ 323.657.650 ;8;CASADO;FEMENINO;Oeste
12; $ 212.111.750 ;6;CASADO;FEMENINO;Oeste
13; $ 123.040.100 ;2;CASADO;FEMENINO;Oeste
14; $ 334.143.600 ;8;SOLTERO;FEMENINO;Oeste
15; $ 319.085.250 ;5;SOLTERO;FEMENINO;Oeste
16; $ 271.238.900 ;3;SOLTERO;FEMENINO;Oeste
17; $ 174.338.450 ;5;SOLTERO;FEMENINO;Oeste
18; $ 117.875.600 ;3;SOLTERO;FEMENINO;Oeste
19; $ 304.520.900 ;6;SOLTERO;FEMENINO;Oeste
20; $ 357.792.250 ;9;SOLTERO;FEMENINO;Oeste
21; $ 262.437.650 ;6;SOLTERO;FEMENINO;Oeste
22; $ 445.128.100 ;7;SOLTERO;FEMENINO;Oeste
23; $ 245.098.650 ;6;SOLTERO;FEMENINO;Oeste
24; $ 197.766.400 ;3;SOLTERO;FEMENINO;Oeste
25; $ 447.341.450 ;9;SOLTERO;FEMENINO;Oeste
26; $ 241.227.800 ;3;SOLTERO;FEMENINO;Oeste
27; $ 571.339.600 ;5;SOLTERO;FEMENINO;Oeste
28; $ 112.756.900 ;2;SOLTERO;FEMENINO;Oeste
29; $ 144.063.050 ;2;SOLTERO;FEMENINO;Oeste
30; $ 177.491.400 ;2;SOLTERO;FEMENINO;Oeste
31; $ 244.624.750 ;4;SOLTERO;FEMENINO;Oeste
32; $ 290.788.200 ;4;SOLTERO;FEMENINO;Oeste
33; $ 621.179.800 ;8;CASADO;FEMENINO;Oeste
34; $ 111.858.050 ;3;CASADO;FEMENINO;Oeste
35; $ 243.650.750 ;7;CASADO;FEMENINO;Oeste
36; $ 373.462.850 ;4;CASADO;FEMENINO;Oeste
37; $ 242.935.550 ;0;CASADO;FEMENINO;Oeste
38; $ 212.343.050 ;2;CASADO;FEMENINO;Oeste
39; $ 195.326.450 ;1;CASADO;FEMENINO;Oeste
40; $ 262.448.550 ;3;CASADO;FEMENINO;Oeste
41; $ 235.229.800 ;3;CASADO;FEMENINO;Oeste
42; $ 192.533.500 ;3;CASADO;FEMENINO;Oeste
43; $ 331.483.850 ;3;CASADO;FEMENINO;Oeste
44; $ 616.196.200 ;6;CASADO;FEMENINO;Oeste
45; $ 304.858.850 ;1;CASADO;FEMENINO;Oeste
46; $ 317.270.900 ;9;SOLTERO;FEMENINO;Oeste
